epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.32996,1.52808,3.10433,1.33055,0.00326,0.90426,0.27795,0.15338,1.39209,3.50971,1.22914,0.00042,0.00042,0.00042
2,13.3178,1.45163,1.96189,1.22353,0.74298,0.06174,0.39133,0.19342,1.42913,3.39672,1.26368,0.000842972,0.000842972,0.000842972
3,17.3288,1.45036,1.85625,1.22722,0.0902,0.48936,0.09219,0.03997,1.61915,3.20553,1.40551,0.00124852,0.00124852,0.00124852
4,21.2394,1.46389,1.67952,1.29275,0.70721,0.57447,0.60132,0.34137,1.57723,2.33037,1.40867,0.00163664,0.00163664,0.00163664
5,25.4184,1.53506,1.70028,1.27125,0.58787,0.58511,0.58789,0.30086,1.63205,2.03688,1.43162,0.0018416,0.0018416,0.0018416
6,29.3364,1.41529,1.50896,1.24664,0.76145,0.7234,0.79625,0.42568,1.59584,1.65236,1.441,0.001802,0.001802,0.001802
7,33.1839,1.44648,1.37568,1.27212,0.72105,0.74468,0.76769,0.3914,1.61266,1.73037,1.52593,0.0017624,0.0017624,0.0017624
8,37.1539,1.43032,1.33947,1.25465,0.70364,0.70213,0.73224,0.35291,1.67603,1.7545,1.5574,0.0017228,0.0017228,0.0017228
9,41.6499,1.42526,1.25828,1.23484,0.84834,0.81915,0.86874,0.44706,1.51862,1.22267,1.3883,0.0016832,0.0016832,0.0016832
10,47.0308,1.46284,1.22532,1.26546,0.85429,0.73404,0.81297,0.43586,1.57904,1.38314,1.39222,0.0016436,0.0016436,0.0016436
11,51.6853,1.38809,1.14086,1.21224,0.91791,0.79787,0.85265,0.45694,1.55944,1.06658,1.39172,0.001604,0.001604,0.001604
12,56.1536,1.37122,1.10616,1.21076,0.93959,0.79787,0.86818,0.48069,1.51234,1.08406,1.40039,0.0015644,0.0015644,0.0015644
13,60.5841,1.3305,1.04185,1.21963,0.94226,0.86806,0.92205,0.47344,1.56407,0.95029,1.42929,0.0015248,0.0015248,0.0015248
14,65.3269,1.32542,1.04677,1.19403,0.91293,0.78086,0.90912,0.45702,1.53033,0.99375,1.34687,0.0014852,0.0014852,0.0014852
15,70.3252,1.29332,1.03111,1.19111,0.86981,0.84043,0.87039,0.42984,1.49018,1.11137,1.33981,0.0014456,0.0014456,0.0014456
